season,week,manager,pts,R,RBI,SB,BB,HBP,1B,2B,3B,HR,TB
2022,13,Boyce,214.5,34,34,5,27,3,0,0,0,0,107
2022,13,Ulmer,199,30,35,5,23,2,0,0,0,0,93
2022,13,Garth,200,31,32,3,26,3,0,0,0,0,107
2022,13,Chris,230.5,38,35,5,21,5,0,0,0,0,123
2022,13,Andy,251.5,36,42,7,25,3,0,0,0,0,132
2022,13,Sam,181,32,19,6,36,4,0,0,0,0,93
2022,13,Howard,251,42,37,7,28,3,0,0,0,0,125
2022,13,Rich,192,32,33,1,18,1,0,0,0,0,100
2022,13,Rouse,270.5,42,47,3,25,5,0,0,0,0,141
2022,13,Dave,228.5,38,37,4,25,3,0,0,0,0,110
2022,14,Boyce,254.5,41,41,4,34,3,0,0,0,0,125
2022,14,Ulmer,225,45,26,8,27,5,0,0,0,0,99
2022,14,Garth,177,29,27,4,10,3,0,0,0,0,100
2022,14,Chris,193,32,24,8,34,1,0,0,0,0,93
2022,14,Andy,216.5,36,32,6,28,4,0,0,0,0,101
2022,14,Sam,190,31,31,1,30,3,0,0,0,0,95
2022,14,Howard,247,43,39,7,23,5,0,0,0,0,109
2022,14,Rich,225,33,42,2,18,3,0,0,0,0,121
2022,14,Rouse,241.5,43,31,5,27,1,0,0,0,0,138
2022,14,Dave,166.5,30,24,2,22,2,0,0,0,0,83
2022,15,Boyce,341.5,55,52,2,49,5,0,0,0,0,187
2022,15,Ulmer,374,58,61,8,32,14,0,0,0,0,193
2022,15,Garth,256.5,43,38,4,32,8,0,0,0,0,131
2022,15,Chris,321,47,51,6,38,4,0,0,0,0,154
2022,15,Andy,351.5,57,58,7,34,3,0,0,0,0,178
2022,15,Sam,291.5,48,49,5,28,6,0,0,0,0,140
2022,15,Howard,361.5,62,55,7,41,4,0,0,0,0,167
2022,15,Rich,177.5,30,27,2,22,3,0,0,0,0,93
2022,15,Rouse,364,60,52,9,44,3,0,0,0,0,194
2022,15,Dave,311.5,52,48,3,28,5,0,0,0,0,178
2022,16,Boyce,278.5,47,43,3,43,3,0,0,0,0,136
2022,16,Ulmer,301,41,58,5,22,3,0,0,0,0,157
2022,16,Garth,139.5,20,22,4,17,2,0,0,0,0,76
2022,16,Chris,236,41,35,6,27,4,0,0,0,0,112
